num_workers	trial	runtime
2	7	6444.03330612
2	8	15649.8390739
2	9	9537.00664902
2	10	6890.581182
1	1	11921.1271801
1	2	9451.99403501
1	3	10260.3205879
1	4	12475.8109968
1	5	9831.84957719
1	6	8350.11374092
1	7	8413.93457007
1	8	6382.09290314
1	9	12486.0909851
1	10	11909.1244769
