trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
3	cradle	683.845975161	8	3	6	2.83333333333	41.9991	3200.0	43.42	power	0.1
4	cradle	640.854418039	8	2	6	2.66666666667	41.9991	3200.0	45.98	power	0.1
5	cradle	578.311544895	9	2	6	2.55555555556	41.9991	3200.0	46.35	power	0.1
6	cradle	429.182752132	10	3	5	2.38888888889	41.9991	3200.0	44.55	power	0.1
7	cradle	613.7321558	8	3	6	2.83333333333	41.9991	3200.0	45.1	power	0.1
8	cradle	480.74692893	9	2	6	2.72222222222	41.9991	3200.0	43.68	power	0.1
9	cradle	480.707326889	10	3	5	2.38888888889	41.9991	3200.0	47.99	power	0.1
10	cradle	14137.1925991	0	0	0	0	0	0	0	power	0.1
1	3	191.060811996	5	2	4	2.06666666667	41.9991	3200.0	43.48	power	0.2
2	3	295.909803152	6	3	4	1.93333333333	41.9991	3200.0	43.89	power	0.2
3	3	336.262865067	5	2	4	2.13333333333	41.9991	3200.0	44.01	power	0.2
4	3	277.53293395	5	2	3	1.93333333333	41.9991	3200.0	43.49	power	0.2
5	3	287.304517031	6	2	3	1.8	41.9991	3200.0	43.81	power	0.2
6	3	363.835927963	5	2	3	1.86666666667	41.9991	3200.0	45.46	power	0.2
7	3	344.343330145	6	3	3	1.73333333333	41.9991	3200.0	44.11	power	0.2
8	3	384.100568056	5	2	4	2.13333333333	41.9991	3200.0	43.63	power	0.2
9	3	312.186849833	5	3	3	1.86666666667	41.9991	3200.0	43.77	power	0.2
10	3	368.414086103	5	2	4	2.13333333333	41.9991	3200.0	45.08	power	0.2
1	2	576.088752031	6	2	3	1.73333333333	41.9991	3200.0	46.35	power	0.2
2	2	611.359669924	6	2	4	1.93333333333	41.9991	3200.0	45.58	power	0.2
3	2	492.709321976	5	2	3	1.86666666667	41.9991	3200.0	47.02	power	0.2
4	2	602.941675901	6	2	4	1.93333333333	41.9991	3200.0	45.99	power	0.2
5	2	644.082358837	5	2	3	1.86666666667	41.9991	3200.0	47.02	power	0.2
6	2	460.666388988	5	3	4	2.13333333333	41.9991	3200.0	44.17	power	0.2
7	2	516.462644815	5	2	4	2.06666666667	41.9991	3200.0	46.24	power	0.2
8	2	576.032189846	5	3	4	2.06666666667	41.9991	3200.0	45.76	power	0.2
9	2	628.731016159	6	2	4	1.86666666667	41.9991	3200.0	45.26	power	0.2
10	2	497.554337025	5	2	3	1.86666666667	41.9991	3200.0	46.31	power	0.2
1	1	370.770396948	6	2	3	1.73333333333	41.9991	3200.0	43.44	power	0.2
2	1	343.794464827	5	2	4	2.13333333333	41.9991	3200.0	43.34	power	0.2
3	1	696.137696028	6	3	4	1.93333333333	41.9991	3200.0	43.88	power	0.2
4	1	323.073010921	5	2	4	2.06666666667	41.9991	3200.0	43.44	power	0.2
5	1	659.484881163	5	3	4	2.13333333333	41.9991	3200.0	44.15	power	0.2
6	1	643.234329939	6	2	3	1.73333333333	41.9991	3200.0	45.91	power	0.2
7	1	695.847301006	5	2	3	1.86666666667	41.9991	3200.0	47.02	power	0.2
8	1	604.696842909	5	2	4	2.06666666667	41.9991	3200.0	45.93	power	0.2
9	1	931.882107973	5	3	5	2.33333333333	41.9991	3200.0	43.66	power	0.2
10	1	508.015022993	5	3	4	2.13333333333	41.9991	3200.0	43.38	power	0.2
1	cradle	135.206819057	5	2	4	2.13333333333	41.9991	3200.0	46.11	power	0.2
2	cradle	143.83646822	5	2	4	2.13333333333	41.9991	3200.0	46.11	power	0.2
3	cradle	182.966923952	5	2	4	2.13333333333	41.9991	3200.0	46.11	power	0.2
4	cradle	139.798629999	6	2	4	1.86666666667	41.9991	3200.0	43.75	power	0.2
5	cradle	186.655287981	6	2	4	1.86666666667	41.9991	3200.0	43.63	power	0.2
6	cradle	149.316544056	5	2	4	2.13333333333	41.9991	3200.0	46.11	power	0.2
7	cradle	179.856379986	5	2	4	2.13333333333	41.9991	3200.0	46.11	power	0.2
8	cradle	163.345392942	6	2	4	1.86666666667	41.9991	3200.0	45.25	power	0.2
9	cradle	138.201665878	6	2	4	1.86666666667	41.9991	3200.0	45.26	power	0.2
10	cradle	190.25511384	6	2	4	1.86666666667	41.9991	3200.0	43.63	power	0.2
1	3	903.348527908	9	3	5	2.38888888889	37.8684	3000.0	47.99	power	0.2
2	3	1336.80161691	8	3	6	2.72222222222	37.8684	3000.0	47.35	power	0.2
3	3	1271.40332699	8	3	5	2.61111111111	37.8684	3000.0	48.23	power	0.2
4	3	1156.67728591	9	3	5	2.33333333333	37.8684	3000.0	48.0	power	0.2
5	3	1317.54063392	8	3	5	2.55555555556	37.8684	3000.0	48.44	power	0.2
6	3	1064.38382697	10	3	4	2.22222222222	33.0215	2800.0	46.82	power	0.2
7	3	1077.44742107	9	3	4	2.27777777778	37.8684	3000.0	48.96	power	0.2
8	3	1059.38780689	10	3	4	2.11111111111	37.8684	3000.0	47.64	power	0.2
9	3	1139.67807508	9	4	5	2.33333333333	41.9991	3200.0	48.75	power	0.2
10	3	1229.84261894	8	3	7	3.05555555556	37.8684	3000.0	47.36	power	0.2
1	2	1093.85879302	8	2	5	2.55555555556	33.0215	2800.0	47.64	power	0.2
2	2	1080.88042879	8	2	6	2.83333333333	41.9991	3200.0	48.91	power	0.2
3	2	1262.54893899	9	3	5	2.33333333333	37.8684	3000.0	47.81	power	0.2
