num_workers	trial	runtime
21	7	127.186628103
21	8	130.724276781
21	9	129.034170866
21	10	123.655534029
20	1	127.701505184
20	2	127.443892956
20	3	129.437212944
20	4	125.756217957
20	5	130.487550974
20	6	125.022855043
20	7	128.928252935
20	8	127.409921885
20	9	124.646677017
20	10	122.929754972
19	1	122.699135065
19	2	122.459351063
19	3	123.647527933
19	4	118.200928926
19	5	123.730304956
19	6	119.114352942
19	7	121.995473146
19	8	121.674721956
19	9	120.131374121
19	10	122.342547894
18	1	130.473607063
18	2	121.036500931
18	3	126.072366953
18	4	125.032174826
18	5	126.52443409
18	6	120.783927917
18	7	123.10906291
18	8	124.91672802
18	9	119.641552925
18	10	127.816076994
17	1	130.894340992
17	2	120.071317911
17	3	131.085564852
17	4	120.652318954
17	5	125.679399014
17	6	124.770431995
17	7	124.030267954
17	8	132.688520908
17	9	129.560961008
17	10	129.17572999
16	1	138.996854067
16	2	130.699575901
16	3	117.609590054
16	4	141.133088112
16	5	142.199473858
16	6	127.56296587
16	7	125.850976944
16	8	139.280406952
16	9	134.359055996
16	10	118.915391922
15	1	137.967934132
15	2	115.797262192
15	3	119.082539082
15	4	117.717146158
15	5	135.611958027
15	6	109.260197878
15	7	114.974865913
15	8	133.331037045
15	9	131.432725906
15	10	111.474884987
14	1	141.073557854
14	2	147.647170067
14	3	152.633914948
14	4	111.048527002
14	5	140.44115901
14	6	140.521888018
14	7	142.662175179
14	8	141.117133141
14	9	160.675934076
14	10	134.158771038
13	1	158.482001066
13	2	150.741801977
13	3	137.129251957
13	4	151.195499897
13	5	143.55163312
13	6	140.957437992
13	7	141.52627492
13	8	144.033297062
13	9	140.779108047
13	10	124.459307909
12	1	130.695799112
12	2	138.941776037
12	3	136.775631905
12	4	151.14687705
12	5	141.932161093
12	6	157.71257019
12	7	161.88001585
12	8	110.668063164
12	9	149.824425936
12	10	148.985710859
11	1	151.097259998
11	2	151.021533012
11	3	151.996972084
11	4	121.661316872
11	5	150.353731155
11	6	151.991546154
11	7	145.326959133
11	8	109.311177015
11	9	150.011630774
11	10	154.405915022
10	1	150.61075902
10	2	148.638215065
10	3	152.588587999
10	4	134.882848978
10	5	160.155326843
10	6	154.947948933
10	7	157.280999899
10	8	163.444065094
10	9	139.447631836
10	10	149.856343031
9	1	161.104278088
9	2	133.982486963
9	3	148.34220314
9	4	161.389907122
9	5	162.356612921
9	6	150.388674974
9	7	174.007908106
9	8	158.294348955
9	9	162.243552923
9	10	160.644266129
8	1	163.181693077
8	2	135.780828953
8	3	163.791599035
8	4	149.382559061
8	5	153.348999977
8	6	184.572511196
8	7	161.985539198
8	8	161.841696024
8	9	146.124686003
8	10	136.227401018
7	1	198.64983201
7	2	198.856118917
7	3	198.674196959
7	4	199.383188963
7	5	198.167028904
7	6	170.714421988
7	7	200.825970888
7	8	184.600262165
7	9	212.219310999
7	10	198.676712036
6	1	198.848739862
6	2	213.572652102
6	3	228.692278147
6	4	186.978079796
6	5	198.157932997
6	6	202.855195999
6	7	204.682398081
6	8	200.021007061
6	9	201.346102953
6	10	161.123211861
5	1	224.312175035
5	2	195.866551876
5	3	211.26544714
5	4	239.396878004
5	5	224.834159851
5	6	249.616651058
5	7	237.631781101
5	8	214.273507833
5	9	225.964764118
5	10	198.309252977
4	1	264.853447914
4	2	290.386632919
4	3	277.370308876
4	4	248.669433117
4	5	250.056740999
4	6	262.325990915
4	7	250.907381058
4	8	293.135925055
4	9	248.75816679
4	10	278.28302002
3	1	321.613435984
3	2	351.251343966
3	3	322.102117062
3	4	324.841459036
3	5	333.535820007
3	6	333.056568146
3	7	337.490700006
3	8	348.771221876
3	9	352.921323061
3	10	336.729659081
2	1	480.910098076
2	2	497.424201012
2	3	518.150454044
2	4	497.381032944
2	5	482.084465027
2	6	504.821151972
2	7	506.263272047
2	8	494.950619936
2	9	530.36037612
2	10	398.001220942
