trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
6	1	307.017746925	5	5	5	2.33333333333	56.7207	3600.0	40.18	temp	0.2	6	34	.5
7	1	280.144837141	5	3	5	2.33333333333	56.7207	3600.0	41.03	temp	0.2	6	34	.5
8	1	354.758089066	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.5
9	1	320.171480894	5	5	5	2.33333333333	56.7207	3600.0	39.98	temp	0.2	6	34	.5
10	1	355.575876951	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.5
1	1	315.03476119	5	5	5	2.33333333333	56.7207	3600.0	39.98	temp	0.2	6	34	.75
2	1	360.530619144	5	5	5	2.33333333333	56.7207	3600.0	39.96	temp	0.2	6	34	.75
3	1	346.149172068	5	5	5	2.33333333333	56.7207	3600.0	39.81	temp	0.2	6	34	.75
4	1	324.934553146	5	5	5	2.33333333333	56.7207	3600.0	39.85	temp	0.2	6	34	.75
5	1	313.540169954	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.75
6	1	322.494027138	5	4	5	2.33333333333	56.7207	3600.0	40.29	temp	0.2	6	34	.75
7	1	358.417366982	5	5	5	2.33333333333	56.7207	3600.0	39.96	temp	0.2	6	34	.75
8	1	317.647541046	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.75
9	1	352.169934988	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.75
10	1	342.876894951	5	5	5	2.33333333333	56.7207	3600.0	39.72	temp	0.2	6	34	.75
1	1	267.343888998	5	3	3	1.86666666667	56.7207	3600.0	45.37	temp	0.2	6	34	1
2	1	209.435612917	6	3	3	1.8	56.7207	3600.0	45.41	temp	0.2	6	34	1
3	1	285.88325882	6	3	3	1.8	56.7207	3600.0	45.76	temp	0.2	6	34	1
4	1	223.862040997	5	3	4	2.13333333333	56.7207	3600.0	43.84	temp	0.2	6	34	1
5	1	261.228880167	5	3	4	2.13333333333	56.7207	3600.0	44.9	temp	0.2	6	34	1
6	1	280.090658188	7	3	3	1.66666666667	56.7207	3600.0	47.17	temp	0.2	6	34	1
7	1	340.430098057	5	4	4	2.06666666667	56.7207	3600.0	43.96	temp	0.2	6	34	1
8	1	277.462079048	5	3	4	2.06666666667	56.7207	3600.0	44.43	temp	0.2	6	34	1
9	1	230.500859976	5	3	4	2.06666666667	56.7207	3600.0	44.53	temp	0.2	6	34	1
10	1	348.75521493	5	4	5	2.33333333333	56.7207	3600.0	42.89	temp	0.2	6	34	1
1	1	537.758828878	8	4	8	3.33333333333	56.7207	3600.0	41.26	temp	0.1	9	34	0
2	1	878.803082943	8	6	8	3.33333333333	56.7207	3600.0	39.3	temp	0.1	9	34	0
3	1	1294.42953181	8	6	8	3.33333333333	56.7207	3600.0	39.28	temp	0.1	9	34	0
4	1	1040.53572297	8	5	8	3.33333333333	56.7207	3600.0	40.78	temp	0.1	9	34	0
5	1	1026.09348488	8	6	8	3.33333333333	56.7207	3600.0	39.27	temp	0.1	9	34	0
6	1	1299.25675082	8	6	8	3.33333333333	56.7207	3600.0	39.51	temp	0.1	9	34	0
7	1	1256.14497805	8	6	8	3.33333333333	56.7207	3600.0	39.67	temp	0.1	9	34	0
8	1	613.756309986	8	4	8	3.33333333333	56.7207	3600.0	40.92	temp	0.1	9	34	0
9	1	789.540417194	8	4	8	3.33333333333	56.7207	3600.0	39.25	temp	0.1	9	34	0
10	1	1066.46583009	8	5	7	3.05555555556	56.7207	3600.0	40.75	temp	0.1	9	34	0
1	1	825.391174078	8	6	8	3.33333333333	56.7207	3600.0	39.61	temp	0.1	9	34	.25
2	1	554.522437811	8	4	8	3.33333333333	56.7207	3600.0	41.26	temp	0.1	9	34	.25
3	1	673.774928808	8	5	8	3.33333333333	56.7207	3600.0	40.41	temp	0.1	9	34	.25
4	1	1211.81905484	9	6	6	2.77777777778	56.7207	3600.0	40.27	temp	0.1	9	34	.25
5	1	738.946559906	8	4	8	3.33333333333	56.7207	3600.0	40.53	temp	0.1	9	34	.25
6	1	1317.37366605	8	6	8	3.33333333333	56.7207	3600.0	38.88	temp	0.1	9	34	.25
7	1	1091.67264891	8	6	8	3.33333333333	56.7207	3600.0	39.43	temp	0.1	9	34	.25
8	1	1272.92312789	8	7	8	3.33333333333	56.7207	3600.0	38.93	temp	0.1	9	34	.25
9	1	1413.70300102	8	7	8	3.33333333333	56.7207	3600.0	38.67	temp	0.1	9	34	.25
10	1	1052.26086402	8	5	8	3.33333333333	56.7207	3600.0	39.71	temp	0.1	9	34	.25
1	1	1299.99885607	9	6	7	3.0	56.7207	3600.0	39.92	temp	0.1	9	34	.5
2	1	1236.49221301	8	6	8	3.33333333333	56.7207	3600.0	39.65	temp	0.1	9	34	.5
3	1	1005.11442995	8	6	8	3.33333333333	56.7207	3600.0	41.09	temp	0.1	9	34	.5
4	1	677.649265051	8	5	8	3.33333333333	56.7207	3600.0	39.27	temp	0.1	9	34	.5
5	1	1247.230268	8	6	8	3.33333333333	56.7207	3600.0	39.67	temp	0.1	9	34	.5
6	1	556.331007957	8	4	7	3.0	56.7207	3600.0	41.91	temp	0.1	9	34	.5
7	1	1463.97106194	8	7	8	3.33333333333	56.7207	3600.0	38.96	temp	0.1	9	34	.5
8	1	1224.536026	8	6	8	3.33333333333	56.7207	3600.0	39.37	temp	0.1	9	34	.5
9	1	794.29989481	8	5	8	3.33333333333	56.7207	3600.0	39.59	temp	0.1	9	34	.5
10	1	693.587147951	8	4	7	3.0	56.7207	3600.0	40.51	temp	0.1	9	34	.5
1	1	1045.52623391	8	6	8	3.33333333333	56.7207	3600.0	38.62	temp	0.1	9	34	.75
2	1	783.162672997	8	4	8	3.33333333333	56.7207	3600.0	40.62	temp	0.1	9	34	.75
3	1	1010.71318388	8	5	8	3.33333333333	56.7207	3600.0	39.02	temp	0.1	9	34	.75
4	1	1026.25581503	8	6	8	3.33333333333	56.7207	3600.0	39.05	temp	0.1	9	34	.75
5	1	844.46631217	8	5	8	3.33333333333	56.7207	3600.0	40.17	temp	0.1	9	34	.75
6	1	1405.74823689	8	7	8	3.33333333333	56.7207	3600.0	38.76	temp	0.1	9	34	.75
7	1	1449.35196304	8	8	8	3.33333333333	56.7207	3600.0	38.9	temp	0.1	9	34	.75
8	1	995.775272131	8	6	8	3.33333333333	56.7207	3600.0	42.0	temp	0.1	9	34	.75
9	1	1041.65737295	8	5	8	3.33333333333	56.7207	3600.0	39.72	temp	0.1	9	34	.75
10	1	1232.81670189	8	6	8	3.33333333333	56.7207	3600.0	39.69	temp	0.1	9	34	.75
1	1	1131.95223689	10	3	5	2.22222222222	56.7207	3600.0	46.09	temp	0.1	9	34	1
2	1	967.125442028	9	5	6	2.55555555556	56.7207	3600.0	42.6	temp	0.1	9	34	1
