trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
1	3	339.610597849	5	3	4	2.13333333333	56.7207	3600.0	47.57	power	0.2
2	3	383.339843988	5	2	5	2.33333333333	56.7207	3600.0	46.95	power	0.2
3	3	413.641879082	5	2	4	2.06666666667	56.7207	3600.0	48.75	power	0.2
4	3	345.671780109	5	3	3	1.93333333333	56.7207	3600.0	47.81	power	0.2
5	3	366.248239994	5	3	4	2.13333333333	56.7207	3600.0	46.57	power	0.2
6	3	345.258085012	5	3	4	2.13333333333	56.7207	3600.0	46.28	power	0.2
7	3	368.030554056	5	3	3	1.93333333333	56.7207	3600.0	47.49	power	0.2
8	3	184.501349926	6	3	3	1.73333333333	56.7207	3600.0	48.06	power	0.2
9	3	373.331367016	5	2	5	2.33333333333	56.7207	3600.0	48.62	power	0.2
10	3	416.070254087	7	3	3	1.66666666667	56.7207	3600.0	49.82	power	0.2
1	1	554.267898083	6	3	3	1.8	56.7207	3600.0	48.81	power	0.2
2	1	338.175404787	5	4	4	2.13333333333	56.7207	3600.0	45.97	power	0.2
3	1	336.711749077	6	3	4	1.93333333333	56.7207	3600.0	47.3	power	0.2
4	1	700.656236887	6	2	4	1.93333333333	56.7207	3600.0	49.14	power	0.2
5	1	357.143552065	5	3	4	2.06666666667	56.7207	3600.0	47.59	power	0.2
6	1	430.989554882	5	2	4	2.06666666667	56.7207	3600.0	48.36	power	0.2
7	1	415.78699708	6	3	3	1.8	56.7207	3600.0	47.71	power	0.2
8	1	336.609310865	5	3	4	2.13333333333	56.7207	3600.0	46.84	power	0.2
9	1	316.055891037	5	4	5	2.33333333333	56.7207	3600.0	45.61	power	0.2
10	1	837.513330221	5	3	5	2.33333333333	56.7207	3600.0	47.2	power	0.2
1	cradle	186.375326157	5	3	5	2.33333333333	56.7207	3600.0	46.53	power	0.2
2	cradle	143.287405014	5	3	5	2.33333333333	56.7207	3600.0	46.53	power	0.2
3	cradle	177.585392952	5	2	4	2.13333333333	56.7207	3600.0	48.31	power	0.2
4	cradle	181.391512156	7	3	3	1.66666666667	56.7207	3600.0	47.67	power	0.2
5	cradle	141.715688944	5	4	4	2.13333333333	56.7207	3600.0	47.02	power	0.2
6	cradle	182.561298847	5	2	5	2.33333333333	56.7207	3600.0	44.05	power	0.2
7	cradle	148.82711482	7	3	3	1.66666666667	56.7207	3600.0	47.67	power	0.2
8	cradle	166.316974163	7	3	3	1.66666666667	56.7207	3600.0	47.67	power	0.2
9	cradle	183.211924076	7	3	3	1.66666666667	56.7207	3600.0	49.82	power	0.2
10	cradle	141.902266026	5	3	5	2.33333333333	56.7207	3600.0	45.03	power	0.2
1	3	117.838278055	5	4	5	2.33333333333	56.7207	3600.0	44.19	temp	0.1
2	3	275.979593039	5	3	4	2.06666666667	41.9991	3200.0	43.53	temp	0.1
3	3	107.173377991	5	2	5	2.33333333333	56.7207	3600.0	44.37	temp	0.1
4	3	125.433302164	5	4	4	2.06666666667	56.7207	3600.0	43.95	temp	0.1
5	3	126.92279911	5	4	5	2.33333333333	56.7207	3600.0	43.32	temp	0.1
6	3	180.561734915	5	4	5	2.33333333333	56.7207	3600.0	42.99	temp	0.1
7	3	183.409984827	5	2	3	1.86666666667	41.9991	3200.0	44.47	temp	0.1
8	3	96.3162338734	5	3	4	2.13333333333	56.7207	3600.0	44.76	temp	0.1
9	3	102.932780027	6	4	4	1.86666666667	56.7207	3600.0	42.92	temp	0.1
10	3	192.671845913	5	2	4	2.06666666667	41.9991	3200.0	43.46	temp	0.1
1	1	347.40593195	5	4	5	2.33333333333	56.7207	3600.0	42.33	temp	0.1
2	1	329.904149055	5	4	5	2.33333333333	56.7207	3600.0	44.08	temp	0.1
3	1	449.269463062	5	4	5	2.33333333333	56.7207	3600.0	43.34	temp	0.1
4	1	320.594717026	5	3	5	2.33333333333	56.7207	3600.0	43.58	temp	0.1
5	1	346.581341028	5	4	5	2.33333333333	56.7207	3600.0	44.08	temp	0.1
6	1	397.682145119	5	5	5	2.33333333333	56.7207	3600.0	44.51	temp	0.1
7	1	335.864074945	5	3	5	2.33333333333	56.7207	3600.0	42.07	temp	0.1
8	1	321.933305025	5	3	5	2.33333333333	56.7207	3600.0	43.0	temp	0.1
9	1	464.717316866	5	5	5	2.33333333333	56.7207	3600.0	41.41	temp	0.1
10	1	326.169137955	5	3	4	2.06666666667	56.7207	3600.0	45.46	temp	0.1
1	cradle	101.294296026	5	3	5	2.33333333333	56.7207	3600.0	42.74	temp	0.1
2	cradle	99.111189127	5	2	5	2.33333333333	56.7207	3600.0	43.2	temp	0.1
3	cradle	181.369967222	5	3	5	2.33333333333	56.7207	3600.0	42.53	temp	0.1
4	cradle	104.614229918	5	3	5	2.33333333333	56.7207	3600.0	42.71	temp	0.1
5	cradle	103.015342951	5	2	5	2.33333333333	56.7207	3600.0	41.88	temp	0.1
6	cradle	106.360459805	5	3	5	2.33333333333	56.7207	3600.0	42.6	temp	0.1
7	cradle	104.229819059	5	4	4	2.13333333333	56.7207	3600.0	42.57	temp	0.1
8	cradle	138.072365046	5	3	5	2.33333333333	56.7207	3600.0	42.77	temp	0.1
9	cradle	157.850741863	5	2	5	2.33333333333	56.7207	3600.0	41.96	temp	0.1
10	cradle	119.365080833	5	3	5	2.33333333333	56.7207	3600.0	42.7	temp	0.1
1	3	371.321928024	5	2	5	2.33333333333	41.9991	3200.0	43.59	temp	0.2
2	3	343.880455971	5	2	4	2.13333333333	41.9991	3200.0	43.39	temp	0.2
3	3	331.923883915	5	2	4	2.13333333333	41.9991	3200.0	43.38	temp	0.2
4	3	415.25386095	5	3	3	1.93333333333	41.9991	3200.0	43.36	temp	0.2
5	3	370.00634408	5	2	4	2.06666666667	41.9991	3200.0	43.48	temp	0.2
6	3	355.835669041	5	3	3	1.93333333333	41.9991	3200.0	43.37	temp	0.2
7	3	289.227486134	6	3	3	1.73333333333	41.9991	3200.0	44.11	temp	0.2
8	3	290.198757172	6	3	4	1.93333333333	41.9991	3200.0	43.38	temp	0.2
9	3	280.635119915	6	3	4	1.86666666667	41.9991	3200.0	44.1	temp	0.2
10	3	325.483173132	5	3	4	2.06666666667	41.9991	3200.0	43.96	temp	0.2
1	1	343.756726027	5	4	5	2.33333333333	56.7207	3600.0	43.8	temp	0.2
2	1	423.721865177	5	5	5	2.33333333333	56.7207	3600.0	42.58	temp	0.2
3	1	472.170106173	5	5	5	2.33333333333	56.7207	3600.0	42.75	temp	0.2
4	1	300.538908005	5	3	5	2.33333333333	56.7207	3600.0	44.92	temp	0.2
5	1	306.100387096	5	3	5	2.33333333333	56.7207	3600.0	45.6	temp	0.2
6	1	371.053444147	5	4	5	2.33333333333	56.7207	3600.0	44.05	temp	0.2
7	1	440.587984085	5	5	5	2.33333333333	56.7207	3600.0	44.17	temp	0.2
8	1	323.500950098	5	4	5	2.33333333333	56.7207	3600.0	44.17	temp	0.2
9	1	350.497488022	5	4	5	2.33333333333	56.7207	3600.0	44.36	temp	0.2
10	1	418.345696926	5	5	5	2.33333333333	56.7207	3600.0	44.18	temp	0.2
