trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	temperature	picked_by	overlap	numchips	candidates
4	1	17056.4484088	0	0	0	0	0	0	0	power	0.2	24	14
5	1	1333.43759608	35	4	6	3.27898550725	56.7207	3600.0	77.67	power	0.2	24	14
6	1	945.608085155	36	3	7	3.26449275362	56.7207	3600.0	80.2	power	0.2	24	14
7	1	1332.33484411	35	4	6	3.27898550725	56.7207	3600.0	79.22	power	0.2	24	14
8	1	1063.17985392	36	3	6	3.24637681159	56.7207	3600.0	81.98	power	0.2	24	14
9	1	34210.8927619	0	0	0	0	0	0	0	power	0.2	24	14
10	1	17724.280664	0	0	0	0	0	0	0	power	0.2	24	14
1	1	1151.4826839	38	3	7	3.32	56.7207	3600.0	78.6	power	0.2	25	14
2	1	1390.76543283	36	4	6	3.36	56.7207	3600.0	79.94	power	0.2	25	14
3	1	4458.49688697	0	0	0	0	0	0	0	power	0.2	25	14
4	1	18354.6635311	0	0	0	0	0	0	0	power	0.2	25	14
5	1	7389.98673391	0	0	0	0	0	0	0	power	0.2	25	14
6	1	36229.8227041	0	0	0	0	0	0	0	power	0.2	25	14
7	1	1013.60809898	36	3	6	3.36	56.7207	3600.0	87.77	power	0.2	25	14
8	1	1096.23226619	38	3	7	3.32666666667	56.7207	3600.0	80.22	power	0.2	25	14
9	1	7831.53396201	0	0	0	0	0	0	0	power	0.2	25	14
10	1	6572.53330588	0	0	0	0	0	0	0	power	0.2	25	14
