trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
8	2	444.605346203	8	5	7	3.05555555556	56.7207	3600.0	47.95	network	0.2	9	14	.75
9	2	471.767042875	8	3	7	3.05555555556	41.9991	3200.0	43.42	network	0.2	9	14	.75
10	2	755.421713114	8	4	6	2.66666666667	41.9991	3200.0	43.57	network	0.2	9	14	.75
1	2	562.148816824	11	3	4	2.05555555556	41.9991	3200.0	48.02	network	0.2	9	14	1
2	2	797.059559107	10	4	4	2.11111111111	41.9991	3200.0	45.76	network	0.2	9	14	1
3	2	587.63242507	10	3	4	2.11111111111	41.9991	3200.0	47.52	network	0.2	9	14	1
4	2	451.522430897	10	2	4	2.11111111111	41.9991	3200.0	46.93	network	0.2	9	14	1
5	2	675.713640928	10	3	4	2.16666666667	41.9991	3200.0	46.89	network	0.2	9	14	1
6	2	746.266361952	11	3	4	2.05555555556	41.9991	3200.0	47.57	network	0.2	9	14	1
7	2	641.131412029	11	3	4	2.05555555556	41.9991	3200.0	45.94	network	0.2	9	14	1
8	2	471.378547907	12	3	4	2.0	56.7207	3600.0	49.06	network	0.2	9	14	1
9	2	658.187232018	11	2	4	2.05555555556	41.9991	3200.0	49.43	network	0.2	9	14	1
10	2	777.205961943	12	3	4	2.0	41.9991	3200.0	45.52	network	0.2	9	14	1
1	1	883.355226994	9	2	4	2.22222222222	41.9991	3200.0	48.39	network	0.2	9	14	0
2	1	1257.73600507	9	3	4	2.33333333333	41.9991	3200.0	47.77	network	0.2	9	14	0
3	1	600.042822838	9	3	6	2.77777777778	41.9991	3200.0	43.65	network	0.2	9	14	0
4	1	535.16762495	9	2	5	2.5	41.9991	3200.0	44.85	network	0.2	9	14	0
5	1	849.832677126	10	4	5	2.33333333333	41.9991	3200.0	44.18	network	0.2	9	14	0
6	1	957.906409979	10	3	4	2.22222222222	41.9991	3200.0	47.47	network	0.2	9	14	0
7	1	354.365482092	9	3	6	2.72222222222	56.7207	3600.0	47.76	network	0.2	9	14	0
8	1	617.256523848	8	4	6	2.88888888889	56.7207	3600.0	49.26	network	0.2	9	14	0
9	1	610.888019085	9	5	6	2.61111111111	56.7207	3600.0	46.25	network	0.2	9	14	0
10	1	1253.96486402	9	3	5	2.44444444444	41.9991	3200.0	44.94	network	0.2	9	14	0
1	1	685.528134823	8	4	7	3.05555555556	56.7207	3600.0	49.61	network	0.2	9	14	.25
2	1	652.768078089	8	3	6	2.72222222222	56.7207	3600.0	46.78	network	0.2	9	14	.25
3	1	572.313196182	9	4	4	2.33333333333	56.7207	3600.0	47.88	network	0.2	9	14	.25
4	1	928.792363882	8	3	5	2.61111111111	41.9991	3200.0	43.7	network	0.2	9	14	.25
5	1	1022.37802792	9	4	5	2.5	56.7207	3600.0	49.5	network	0.2	9	14	.25
6	1	1646.44539809	9	5	6	2.66666666667	56.7207	3600.0	48.55	network	0.2	9	14	.25
7	1	1192.20090508	10	3	5	2.22222222222	41.9991	3200.0	45.54	network	0.2	9	14	.25
8	1	767.160002947	9	4	5	2.5	56.7207	3600.0	49.54	network	0.2	9	14	.25
9	1	782.439918041	9	3	6	2.72222222222	56.7207	3600.0	49.52	network	0.2	9	14	.25
10	1	492.812035084	9	3	5	2.38888888889	56.7207	3600.0	49.89	network	0.2	9	14	.25
1	1	916.887825966	9	3	4	2.38888888889	41.9991	3200.0	44.78	network	0.2	9	14	.5
2	1	549.214771986	10	3	6	2.5	56.7207	3600.0	47.56	network	0.2	9	14	.5
3	1	627.860199928	8	4	6	2.88888888889	56.7207	3600.0	48.46	network	0.2	9	14	.5
4	1	983.93194294	10	3	5	2.27777777778	41.9991	3200.0	47.49	network	0.2	9	14	.5
5	1	914.347681999	10	3	4	2.22222222222	41.9991	3200.0	44.75	network	0.2	9	14	.5
6	1	509.260402918	8	2	5	2.55555555556	41.9991	3200.0	48.79	network	0.2	9	14	.5
7	1	370.511958122	8	4	6	2.83333333333	56.7207	3600.0	46.68	network	0.2	9	14	.5
8	1	1162.31419587	9	3	6	2.55555555556	41.9991	3200.0	45.12	network	0.2	9	14	.5
9	1	870.458903074	9	4	5	2.5	41.9991	3200.0	43.78	network	0.2	9	14	.5
10	1	470.696828127	9	2	5	2.61111111111	41.9991	3200.0	43.62	network	0.2	9	14	.5
1	1	531.439157009	8	3	6	2.88888888889	41.9991	3200.0	45.06	network	0.2	9	14	.75
2	1	683.650586128	10	3	4	2.22222222222	41.9991	3200.0	44.84	network	0.2	9	14	.75
3	1	1180.32352686	9	3	4	2.27777777778	41.9991	3200.0	45.24	network	0.2	9	14	.75
4	1	512.259139061	8	3	7	3.0	41.9991	3200.0	43.42	network	0.2	9	14	.75
5	1	1257.46497107	10	4	5	2.33333333333	41.9991	3200.0	44.36	network	0.2	9	14	.75
6	1	1192.24051595	11	3	5	2.16666666667	41.9991	3200.0	47.56	network	0.2	9	14	.75
7	1	713.806813955	8	3	5	2.66666666667	41.9991	3200.0	44.46	network	0.2	9	14	.75
8	1	988.600654125	9	3	5	2.33333333333	41.9991	3200.0	47.33	network	0.2	9	14	.75
9	1	1113.00088596	10	3	5	2.33333333333	41.9991	3200.0	44.0	network	0.2	9	14	.75
10	1	1328.27733493	8	4	6	2.66666666667	41.9991	3200.0	43.67	network	0.2	9	14	.75
1	1	1356.53130007	12	3	4	2.0	41.9991	3200.0	45.36	network	0.2	9	14	1
2	1	1106.17671609	11	3	4	2.05555555556	41.9991	3200.0	45.17	network	0.2	9	14	1
3	1	1058.22674823	11	3	4	2.05555555556	41.9991	3200.0	45.96	network	0.2	9	14	1
4	1	984.914297104	11	2	4	2.05555555556	41.9991	3200.0	45.04	network	0.2	9	14	1
5	1	1158.12315392	11	3	4	2.05555555556	41.9991	3200.0	47.66	network	0.2	9	14	1
6	1	1197.84760785	11	3	4	2.05555555556	41.9991	3200.0	44.65	network	0.2	9	14	1
7	1	1257.11261487	11	3	4	2.05555555556	41.9991	3200.0	47.21	network	0.2	9	14	1
8	1	1056.95361018	12	3	4	2.0	41.9991	3200.0	45.16	network	0.2	9	14	1
9	1	1118.51473594	11	3	4	2.05555555556	41.9991	3200.0	45.96	network	0.2	9	14	1
10	1	1214.4592669	11	3	4	2.05555555556	41.9991	3200.0	46.67	network	0.2	9	14	1
1	3	63.1731801033	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	0
2	3	74.3712489605	6	3	4	1.93333333333	56.7207	3600.0	48.08	network	0.2	6	14	0
3	3	73.8610608578	5	2	4	2.13333333333	56.7207	3600.0	46.61	network	0.2	6	14	0
4	3	88.6866810322	5	3	3	1.86666666667	56.7207	3600.0	47.31	network	0.2	6	14	0
5	3	62.0214631557	5	2	4	2.06666666667	56.7207	3600.0	45.52	network	0.2	6	14	0
6	3	74.9412038326	5	2	5	2.33333333333	56.7207	3600.0	47.85	network	0.2	6	14	0
7	3	74.5443029404	5	3	4	2.06666666667	56.7207	3600.0	44.63	network	0.2	6	14	0
8	3	73.4771471024	6	3	4	1.93333333333	56.7207	3600.0	44.54	network	0.2	6	14	0
9	3	64.5627789497	5	2	4	2.13333333333	56.7207	3600.0	48.24	network	0.2	6	14	0
10	3	86.8503639698	5	3	4	2.13333333333	56.7207	3600.0	46.08	network	0.2	6	14	0
1	3	114.158022881	6	3	4	1.93333333333	56.7207	3600.0	46.35	network	0.2	6	14	.25
2	3	62.1385948658	6	2	3	1.73333333333	56.7207	3600.0	48.0	network	0.2	6	14	.25
3	3	74.3017032146	5	2	4	2.13333333333	56.7207	3600.0	46.77	network	0.2	6	14	.25
4	3	88.3261229992	5	3	5	2.33333333333	56.7207	3600.0	43.13	network	0.2	6	14	.25
5	3	116.071276903	6	3	3	1.8	56.7207	3600.0	45.65	network	0.2	6	14	.25
6	3	62.8316440582	5	3	4	2.13333333333	56.7207	3600.0	47.22	network	0.2	6	14	.25
7	3	90.1895580292	6	3	4	1.93333333333	56.7207	3600.0	47.54	network	0.2	6	14	.25
8	3	73.5224368572	5	3	5	2.33333333333	56.7207	3600.0	45.99	network	0.2	6	14	.25
9	3	62.3854880333	6	3	4	1.93333333333	56.7207	3600.0	44.89	network	0.2	6	14	.25
10	3	89.9947619438	5	3	4	2.13333333333	56.7207	3600.0	44.61	network	0.2	6	14	.25
1	3	62.400821209	5	3	3	1.93333333333	56.7207	3600.0	45.54	network	0.2	6	14	.5
2	3	64.4414908886	5	2	5	2.33333333333	56.7207	3600.0	46.68	network	0.2	6	14	.5
3	3	90.024823904	6	3	3	1.8	56.7207	3600.0	45.67	network	0.2	6	14	.5
4	3	115.109779835	6	3	4	1.93333333333	56.7207	3600.0	46.34	network	0.2	6	14	.5
5	3	74.5372431278	5	4	4	2.06666666667	56.7207	3600.0	43.86	network	0.2	6	14	.5
6	3	75.3238730431	5	3	3	1.86666666667	56.7207	3600.0	49.32	network	0.2	6	14	.5
7	3	88.8805081844	5	3	4	2.06666666667	56.7207	3600.0	47.88	network	0.2	6	14	.5
8	3	86.73072505	5	3	3	1.86666666667	56.7207	3600.0	49.32	network	0.2	6	14	.5
9	3	114.819333076	5	3	4	2.06666666667	56.7207	3600.0	44.86	network	0.2	6	14	.5
10	3	114.810643911	6	2	3	1.8	56.7207	3600.0	46.92	network	0.2	6	14	.5
1	3	102.36087203	5	3	4	2.06666666667	56.7207	3600.0	45.17	network	0.2	6	14	.75
2	3	74.855025053	5	3	4	2.13333333333	56.7207	3600.0	43.48	network	0.2	6	14	.75
3	3	77.5446250439	5	3	4	2.06666666667	56.7207	3600.0	44.72	network	0.2	6	14	.75
4	3	113.280807972	6	2	3	1.73333333333	56.7207	3600.0	48.0	network	0.2	6	14	.75
5	3	74.7543981075	5	3	4	2.06666666667	56.7207	3600.0	48.56	network	0.2	6	14	.75
6	3	73.8951280117	5	3	4	2.13333333333	56.7207	3600.0	43.8	network	0.2	6	14	.75
7	3	101.22226882	6	2	4	1.93333333333	56.7207	3600.0	49.07	network	0.2	6	14	.75
8	3	76.74614501	6	3	4	1.93333333333	56.7207	3600.0	48.23	network	0.2	6	14	.75
9	3	63.7467038631	5	3	3	1.93333333333	56.7207	3600.0	45.48	network	0.2	6	14	.75
10	3	114.705589056	5	3	4	2.06666666667	56.7207	3600.0	47.38	network	0.2	6	14	.75
1	3	75.1708669662	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	1
2	3	87.6116938591	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	1
3	3	114.037853003	6	2	3	1.73333333333	41.9991	3200.0	43.93	network	0.2	6	14	1
4	3	89.4087388515	7	3	3	1.66666666667	56.7207	3600.0	47.18	network	0.2	6	14	1
5	3	88.2938690186	6	2	3	1.73333333333	56.7207	3600.0	49.54	network	0.2	6	14	1
6	3	63.1241168976	6	3	3	1.73333333333	56.7207	3600.0	45.97	network	0.2	6	14	1
7	3	86.9687190056	7	3	3	1.66666666667	56.7207	3600.0	45.29	network	0.2	6	14	1
8	3	127.927850008	6	2	3	1.73333333333	41.9991	3200.0	43.93	network	0.2	6	14	1
9	3	75.3179438114	6	3	3	1.8	56.7207	3600.0	45.72	network	0.2	6	14	1
10	3	63.0508170128	6	3	3	1.8	56.7207	3600.0	46.64	network	0.2	6	14	1
1	2	119.41157794	5	3	5	2.33333333333	56.7207	3600.0	44.52	network	0.2	6	14	0
2	2	131.870134115	5	4	4	2.06666666667	56.7207	3600.0	45.0	network	0.2	6	14	0
3	2	119.435693979	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	0
4	2	159.861166	5	4	4	2.13333333333	56.7207	3600.0	41.11	network	0.2	6	14	0
5	2	103.029408216	5	3	4	2.06666666667	56.7207	3600.0	45.33	network	0.2	6	14	0
6	2	170.141544104	6	3	3	1.8	56.7207	3600.0	47.53	network	0.2	6	14	0
7	2	186.77960515	5	2	3	1.86666666667	41.9991	3200.0	44.53	network	0.2	6	14	0
8	2	105.701843023	6	2	3	1.8	56.7207	3600.0	47.31	network	0.2	6	14	0
