chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
2	626.968775225	8.7	3.56666666667	5.76666666667	2.68148148148	56.22998	3586.66666667	48.4636666667	power	0.2	9	14	.5
2	601.150237691	8.8	3.55	5.725	2.64861111111	55.98462	3580.0	48.38475	power	0.2	9	14	.75
2	623.037918491	9.18	3.48	5.38	2.54	53.187516	3504.0	47.8064	power	0.2	9	14	1
1	784.120387673	8.9	3.7	5.3	2.56666666667	55.24854	3560.0	48.117	power	0.2	9	14	0
1	787.315525377	8.8	3.4	5.25	2.56388888889	55.98462	3580.0	48.3645	power	0.2	9	14	.25
1	781.456130147	8.7	3.5	5.33333333333	2.58518518519	55.73926	3573.33333333	48.2963333333	power	0.2	9	14	.5
1	850.8914702	8.675	3.5	5.275	2.57361111111	55.24854	3560.0	48.168	power	0.2	9	14	.75
1	923.20516849	9.1	3.38	5.02	2.47333333333	52.598652	3488.0	47.7706	power	0.2	9	14	1
3	94.1441671848	5.1	3.0	3.7	2.01333333333	56.7207	3600.0	45.641	power	0.2	6	14	0
3	94.820690608	5.2	2.95	3.9	2.05333333333	56.7207	3600.0	45.48	power	0.2	6	14	.25
3	97.1986076434	5.16666666667	2.9	3.9	2.05777777778	56.7207	3600.0	45.8503333333	power	0.2	6	14	.5
3	91.450688827	5.2	3.0	3.9	2.05666666667	56.7207	3600.0	45.91775	power	0.2	6	14	.75
3	91.1692296648	5.4	2.94	3.72	1.99333333333	56.426268	3592.0	46.1166	power	0.2	6	14	1
2	145.155216169	5.3	2.5	4.1	2.09333333333	56.7207	3600.0	46.701	power	0.2	6	14	0
2	148.016614175	5.15	2.55	4.2	2.13666666666	56.7207	3600.0	46.12	power	0.2	6	14	.25
2	149.566742992	5.2	2.6	4.0	2.08222222222	56.7207	3600.0	46.1696666667	power	0.2	6	14	.5
2	151.309624976	5.225	2.675	4.0	2.07833333333	56.7207	3600.0	46.217	power	0.2	6	14	.75
2	156.602845144	5.4	2.6	3.8	2.01066666666	55.837404	3576.0	46.2952	power	0.2	6	14	1
1	200.133710265	5.5	2.8	3.7	1.97333333333	56.7207	3600.0	46.329	power	0.2	6	14	0
1	204.271126461	5.45	2.85	3.75	1.98333333333	56.7207	3600.0	46.6255	power	0.2	6	14	.25
1	199.159026504	5.33333333333	2.7	3.83333333333	2.01555555556	56.7207	3600.0	46.9	power	0.2	6	14	.5
1	201.830998629	5.35	2.7	3.8	2.01	56.7207	3600.0	46.55975	power	0.2	6	14	.75
1	210.057310648	5.48	2.64	3.64	1.95466666667	55.837404	3576.0	46.6032	power	0.2	6	14	1
3	275.346747255	9.0	3.5	5.2	2.51666666666	56.7207	3600.0	47.435	power	0.1	9	14	0
